Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
MAALT,48.1,❌,❌,❌,❌,40.3,❌,❌,—
PETUN,48.5,❌,❌,❌,❌,40.3,❌,❌,—
AZTEK,44.1,✅,❌,✅,❌,40.4,✅,❌,—
ADEL,42.3,❌,✅,❌,❌,40.5,❌,❌,—
MERIT,49.3,❌,❌,❌,❌,40.5,✅,❌,—
AKSEN,56.1,❌,❌,❌,✅,40.5,✅,❌,—
KMPUR,43.8,❌,❌,❌,❌,40.6,❌,❌,—
GRSEL,52.5,❌,❌,❌,❌,40.6,✅,❌,—
CIMSA,49.6,❌,❌,❌,❌,40.6,✅,❌,—
ISMEN,48.8,✅,❌,✅,❌,40.7,✅,✅,—
OTKAR,40.7,❌,❌,❌,❌,40.8,✅,✅,—
LIDFA,54.4,❌,❌,❌,❌,40.8,✅,❌,—
DIRIT,46.4,❌,❌,❌,❌,41.0,❌,❌,—
CATES,45.7,❌,❌,❌,❌,41.0,❌,❌,—
KNFRT,46.8,❌,❌,❌,❌,41.1,❌,❌,—
PNSUT,47.6,❌,❌,❌,❌,41.1,❌,❌,—
SANEL,52.5,❌,❌,❌,❌,41.1,❌,❌,—
TURGG,46.4,❌,❌,❌,❌,41.1,❌,❌,—
FONET,56.1,❌,❌,❌,❌,41.2,✅,❌,—
IZMDC,50.0,❌,❌,❌,✅,41.2,❌,❌,—
VAKKO,48.5,❌,❌,❌,✅,41.2,✅,❌,—
MGROS,52.6,✅,❌,✅,✅,41.2,✅,❌,—
UMPAS,56.5,✅,❌,❌,❌,41.2,❌,✅,—
ICBCT,51.3,❌,❌,❌,❌,41.3,❌,❌,—
SARKY,52.3,❌,❌,❌,❌,41.3,✅,❌,—
DOAS,49.7,❌,❌,❌,❌,41.4,✅,❌,—
TUCLK,37.4,❌,❌,❌,❌,41.8,✅,✅,—
TABGD,54.6,❌,❌,❌,❌,41.8,❌,❌,—
EMNIS,40.6,❌,❌,❌,❌,41.8,✅,❌,—
GARFA,50.2,❌,❌,❌,✅,41.9,✅,❌,—
NUHCM,46.7,❌,❌,❌,❌,42.1,✅,❌,—
ARASE,62.4,❌,❌,❌,❌,42.1,❌,❌,—
TSPOR,42.5,❌,❌,❌,❌,42.2,✅,❌,—
ESCOM,52.9,❌,❌,❌,✅,42.2,✅,❌,—
PRKME,46.0,❌,❌,❌,❌,42.2,❌,❌,—
KORDS,47.3,❌,❌,❌,❌,42.2,✅,❌,—
NTGAZ,58.4,❌,❌,❌,✅,42.2,❌,❌,—
BUCIM,42.0,❌,❌,❌,❌,42.3,✅,✅,—
AGYO,48.6,❌,❌,❌,❌,42.4,❌,❌,—
MTRKS,50.7,❌,❌,❌,✅,42.5,✅,❌,—
AKFGY,50.0,❌,❌,❌,❌,42.6,✅,❌,—
DNISI,48.0,❌,❌,❌,✅,42.6,❌,❌,—
METRO,57.4,❌,❌,❌,✅,42.7,❌,❌,—
HKTM,44.3,❌,❌,❌,❌,42.7,❌,❌,—
RUBNS,47.5,❌,❌,❌,❌,42.8,✅,❌,—
TEHOL,54.0,❌,❌,❌,✅,42.9,❌,❌,—
PRZMA,55.5,❌,❌,❌,❌,43.2,❌,❌,—
ATSYH,52.9,❌,❌,❌,❌,43.2,❌,❌,—
NTHOL,49.7,❌,❌,❌,✅,43.3,✅,❌,—
GOZDE,46.8,❌,❌,❌,❌,43.3,❌,❌,—
BRLSM,46.7,❌,❌,❌,❌,43.4,❌,❌,—
BOBET,44.1,❌,❌,❌,❌,43.5,✅,❌,—
FROTO,47.2,✅,❌,✅,❌,43.6,✅,✅,—
OZKGY,50.7,❌,❌,❌,✅,43.9,✅,❌,—
KONYA,39.5,❌,❌,❌,❌,44.0,❌,❌,—
AKMGY,54.6,❌,❌,❌,❌,44.2,✅,❌,—
MRGYO,44.5,❌,❌,❌,❌,44.3,❌,❌,—
AYDEM,51.2,❌,❌,❌,✅,44.3,❌,❌,—
SASA,39.8,❌,❌,❌,❌,44.4,❌,❌,—
KRONT,56.7,❌,❌,❌,❌,44.4,✅,❌,—
TSKB,50.3,✅,❌,✅,❌,44.5,✅,❌,—
ODAS,50.9,❌,❌,❌,❌,44.5,❌,❌,—
SONME,53.4,❌,❌,❌,✅,44.7,❌,❌,—
PAGYO,63.1,❌,❌,❌,✅,44.8,✅,❌,—
VERUS,53.4,❌,❌,❌,✅,44.9,❌,❌,—
TUKAS,38.9,✅,✅,✅,❌,45.0,✅,✅,—
DOHOL,57.3,❌,❌,❌,❌,45.2,✅,❌,—
ISFIN,57.0,❌,❌,❌,❌,45.2,✅,❌,—
EUKYO,62.1,❌,❌,❌,✅,45.4,❌,❌,—
TATGD,47.9,❌,✅,❌,❌,45.4,✅,❌,—
HURGZ,52.9,❌,❌,❌,❌,45.5,❌,❌,—
SISE,50.5,✅,❌,✅,❌,45.7,✅,❌,—
ANELE,57.2,❌,❌,❌,✅,45.7,❌,❌,—
AKFYE,54.2,❌,❌,❌,❌,45.8,❌,❌,—
MTRYO,53.1,✅,❌,✅,❌,45.9,✅,❌,—
YKSLN,36.2,✅,✅,✅,❌,45.9,❌,❌,—
SAYAS,49.1,❌,❌,❌,❌,45.9,✅,❌,—
MRSHL,49.3,❌,❌,❌,❌,45.9,❌,❌,—
TBORG,50.7,❌,❌,❌,❌,46.0,✅,❌,—
TTKOM,53.4,✅,❌,✅,✅,46.1,✅,✅,—
KARSN,47.2,✅,❌,✅,❌,46.1,✅,❌,—
EPLAS,48.0,❌,❌,❌,❌,46.2,❌,❌,—
ANSGR,59.7,❌,❌,❌,❌,46.4,❌,❌,—
SELEC,57.0,❌,❌,❌,✅,46.4,❌,❌,—
ISBTR,49.2,❌,❌,❌,❌,46.4,✅,❌,—
KGYO,61.9,❌,❌,❌,❌,46.5,❌,❌,—
TCELL,55.4,✅,❌,✅,❌,46.7,✅,✅,—
IEYHO,65.6,❌,❌,❌,✅,46.7,❌,❌,—
ASTOR,62.6,❌,❌,❌,❌,46.7,✅,❌,—
ENKAI,62.6,❌,❌,❌,❌,46.9,✅,❌,—
YEOTK,58.3,❌,❌,❌,❌,47.0,✅,❌,—
EUPWR,57.2,❌,❌,❌,❌,47.1,✅,❌,—
OYAKC,51.3,❌,❌,❌,❌,47.2,✅,✅,—
MEPET,59.8,❌,❌,❌,❌,47.3,✅,✅,—
DURDO,57.7,❌,❌,❌,❌,47.3,❌,❌,—
MAVI,51.7,✅,❌,✅,❌,47.3,✅,✅,—
GUBRF,57.6,❌,❌,❌,✅,47.5,✅,❌,—
EGGUB,55.8,❌,❌,❌,✅,47.8,✅,❌,—
AKSA,54.6,✅,❌,✅,✅,47.8,✅,❌,—
THYAO,54.3,❌,❌,❌,❌,47.8,✅,❌,—
BJKAS,37.4,❌,✅,❌,❌,47.9,❌,❌,—
MARTI,41.8,✅,✅,✅,✅,48.0,❌,❌,—
VBTYZ,55.2,❌,✅,❌,✅,48.2,❌,❌,—
AEFES,55.2,✅,❌,✅,❌,48.3,✅,❌,—
EGPRO,58.3,❌,❌,❌,❌,48.7,✅,❌,—
ANHYT,58.0,❌,❌,❌,✅,48.8,✅,❌,—
EKGYO,56.1,❌,❌,❌,❌,48.9,✅,✅,—
GLYHO,67.3,❌,❌,❌,✅,49.3,✅,❌,—
CCOLA,41.9,✅,✅,✅,❌,49.4,❌,❌,—
TURSG,65.0,✅,❌,✅,❌,49.5,✅,❌,—
BOSSA,51.7,✅,❌,✅,✅,49.8,❌,❌,—
SAHOL,53.9,❌,❌,❌,❌,49.9,✅,✅,—
GSDDE,61.0,❌,✅,❌,❌,49.9,❌,❌,—
ZRGYO,55.3,✅,❌,✅,✅,50.2,✅,✅,—
ARDYZ,62.5,❌,✅,❌,✅,50.5,✅,❌,—
ENJSA,68.7,❌,❌,❌,❌,50.6,✅,❌,—
AVGYO,60.1,✅,✅,✅,✅,50.7,❌,❌,—
AGESA,65.4,❌,❌,❌,✅,50.9,❌,❌,—
PETKM,55.3,✅,✅,✅,✅,51.2,❌,❌,—
TOASO,59.3,✅,❌,✅,✅,51.5,✅,✅,—
ARSAN,59.0,❌,❌,❌,❌,51.6,✅,❌,—
ISCTR,53.3,✅,❌,✅,✅,51.6,✅,✅,—
MPARK,62.0,✅,❌,✅,❌,51.7,❌,✅,—
AKSGY,68.1,❌,❌,❌,❌,51.9,✅,❌,—
NETAS,55.6,❌,✅,❌,❌,51.9,❌,❌,—
LOGO,55.7,✅,❌,✅,❌,52.1,❌,✅,—
EREGL,62.8,❌,❌,❌,❌,52.1,✅,❌,—
ASELS,72.5,❌,❌,❌,✅,52.2,✅,❌,—
DOCO,60.9,❌,❌,❌,✅,52.2,✅,❌,—
KLSYN,64.2,❌,✅,❌,✅,52.2,✅,❌,—
KRDMA,56.3,❌,❌,❌,✅,52.3,❌,❌,—
TAVHL,56.7,✅,❌,✅,❌,52.3,✅,✅,—
INDES,60.6,❌,✅,❌,✅,52.4,✅,❌,—
ALBRK,62.1,❌,❌,❌,❌,52.5,❌,❌,—
TRALT,63.6,❌,✅,❌,✅,52.6,✅,❌,—
KERVN,70.4,❌,✅,❌,❌,52.6,✅,❌,—
YKBNK,56.0,✅,❌,✅,✅,52.7,✅,✅,—
GARAN,57.1,✅,❌,✅,✅,52.9,✅,✅,—
ATATP,64.8,❌,✅,❌,✅,53.2,❌,❌,—
TRGYO,71.6,❌,❌,❌,✅,53.3,✅,❌,—
BMSTL,62.5,✅,❌,✅,✅,53.4,❌,✅,—
AKBNK,56.1,✅,❌,✅,✅,53.5,✅,✅,—
FLAP,55.7,✅,✅,✅,❌,53.5,✅,✅,—
ETILR,50.5,✅,✅,✅,❌,53.6,✅,❌,—
YGGYO,74.8,❌,❌,❌,✅,53.6,❌,❌,—
ISGYO,62.1,❌,✅,❌,✅,53.7,✅,❌,—
TNZTP,58.9,❌,✅,❌,❌,53.9,✅,❌,—
CEOEM,51.3,✅,✅,✅,✅,54.0,❌,✅,—
TRCAS,65.8,❌,❌,❌,✅,54.3,❌,❌,—
TRMET,63.3,❌,✅,❌,✅,54.7,✅,✅,—
PCILT,64.1,❌,❌,❌,✅,54.7,✅,❌,—
UNLU,47.5,✅,✅,✅,❌,54.9,✅,✅,—
VAKBN,60.0,✅,✅,✅,✅,55.2,✅,✅,🟢
AGHOL,58.2,✅,✅,✅,✅,55.4,✅,✅,🟢
ALARK,57.3,✅,✅,✅,❌,55.9,✅,❌,—
TRENJ,65.7,✅,✅,✅,✅,56.5,✅,✅,🟢
AYGAZ,64.6,❌,✅,❌,✅,56.5,❌,❌,—
KRGYO,44.5,✅,✅,✅,❌,56.6,✅,✅,—
RYSAS,66.0,❌,✅,❌,✅,56.7,✅,❌,—
BRSAN,59.4,❌,✅,❌,✅,57.2,✅,❌,—
HALKB,67.3,✅,✅,✅,✅,57.4,✅,✅,🟢
GMTAS,92.8,✅,✅,✅,✅,58.4,✅,✅,🟢
TRHOL,81.8,❌,✅,❌,✅,58.5,❌,❌,—
SOKM,59.9,✅,✅,✅,✅,58.8,❌,✅,—
HUNER,54.6,✅,✅,✅,✅,59.2,✅,✅,🟢
ORGE,65.5,❌,✅,❌,✅,59.4,✅,❌,—
KRPLS,68.0,✅,✅,✅,✅,59.5,❌,✅,—
OZSUB,71.2,❌,✅,❌,❌,60.0,✅,❌,—
KCHOL,67.7,✅,✅,✅,✅,61.7,✅,✅,🟢
CRFSA,77.0,❌,✅,❌,✅,62.1,✅,✅,—
KRDMD,71.4,❌,✅,❌,✅,62.3,✅,✅,—
CELHA,62.7,✅,✅,✅,✅,62.6,❌,❌,—
BIMAS,84.8,✅,✅,✅,✅,65.9,✅,✅,🟢
ISDMR,75.1,✅,✅,✅,✅,68.2,✅,✅,🟢
ENERY,71.5,✅,✅,✅,✅,69.1,❌,✅,—
TKFEN,78.9,✅,✅,✅,✅,69.4,❌,✅,—
TUPRS,77.9,❌,✅,❌,✅,69.8,❌,❌,—
RYGYO,78.1,❌,✅,❌,✅,71.0,✅,✅,—
AHGAZ,68.1,✅,✅,✅,✅,71.2,❌,✅,—
DEVA,68.0,✅,✅,✅,❌,73.1,✅,✅,—
