Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
SEYKM,48.1,47.0,✅,❌,✅,78.8,❌,—
IHAAS,56.0,47.0,✅,❌,✅,94.4,❌,—
DOGUB,59.7,47.0,❌,❌,❌,98.7,✅,—
QUAGR,45.5,47.1,✅,✅,✅,73.1,❌,—
VAKBN,55.6,47.2,❌,❌,❌,97.7,✅,—
GATEG,63.2,47.2,❌,❌,❌,99.5,✅,—
JANTS,43.1,47.2,✅,✅,✅,92.3,❌,—
AKENR,50.6,47.2,❌,❌,❌,96.8,✅,—
PRKME,48.7,47.2,❌,❌,❌,99.0,✅,—
DOFRB,,47.3,❌,❌,❌,93.6,❌,—
OZGYO,60.8,47.4,❌,❌,❌,99.6,✅,—
ISBIR,44.5,47.4,✅,✅,✅,-10.2,❌,—
BNTAS,44.3,47.5,✅,✅,✅,97.9,✅,🟢
YUNSA,55.6,47.5,❌,❌,❌,98.2,✅,—
ZGYO,,47.5,❌,❌,❌,91.3,❌,—
SARKY,56.1,47.6,❌,❌,❌,93.1,❌,—
PNLSN,49.6,47.7,✅,❌,✅,95.7,✅,—
KRGYO,41.1,47.7,❌,✅,❌,92.1,❌,—
NUGYO,51.8,47.7,✅,✅,✅,97.6,✅,🟢
ECZYT,58.6,47.9,❌,❌,❌,99.4,✅,—
EMNIS,43.6,47.9,❌,✅,❌,98.6,✅,—
EGGUB,56.9,48.0,❌,✅,❌,99.3,✅,—
BESLR,49.9,48.1,✅,✅,✅,97.4,✅,🟢
FRMPL,,48.3,❌,❌,❌,-50.4,❌,—
AEFES,56.2,48.3,❌,❌,❌,94.2,❌,—
ENTRA,,48.4,❌,❌,❌,-38360.4,❌,—
GOLTS,49.0,48.5,✅,✅,✅,97.6,✅,🟢
ULUUN,57.1,48.5,❌,❌,❌,98.5,✅,—
EKGYO,56.3,48.6,✅,✅,✅,97.0,✅,🟢
SMRTG,48.1,48.8,❌,❌,❌,83.8,❌,—
AYEN,58.6,48.8,❌,❌,❌,99.2,✅,—
QNBFK,45.6,48.8,✅,✅,✅,93.9,❌,—
MTRYO,55.4,48.9,✅,❌,✅,97.2,✅,—
GOODY,47.5,48.9,❌,❌,❌,95.0,❌,—
FADE,52.3,48.9,❌,❌,❌,95.1,✅,—
ADEL,43.7,49.0,✅,✅,✅,74.7,❌,—
GLRMK,,49.1,❌,✅,❌,63.7,❌,—
SAHOL,53.6,49.1,✅,✅,✅,91.5,❌,—
ODAS,54.6,49.3,❌,❌,❌,99.0,✅,—
MERCN,52.5,49.4,✅,❌,✅,62.9,❌,—
YKBNK,54.4,49.4,✅,✅,✅,98.4,✅,🟢
DSTKF,,49.4,✅,❌,✅,95.7,✅,—
NTHOL,54.0,49.5,❌,❌,❌,99.7,✅,—
KLYPV,,49.5,✅,✅,✅,-38.7,❌,—
MARMR,,49.6,✅,✅,✅,-394.0,❌,—
GARAN,55.8,49.8,✅,✅,✅,99.2,✅,🟢
DOAS,54.7,49.8,✅,❌,✅,98.7,✅,—
ANHYT,58.7,49.9,❌,❌,❌,99.5,✅,—
MOBTL,66.0,49.9,❌,❌,❌,99.2,✅,—
AKBNK,54.5,49.9,✅,✅,✅,98.9,✅,🟢
RODRG,54.7,49.9,❌,❌,❌,69.9,❌,—
TURSG,66.4,50.1,✅,❌,✅,99.3,✅,—
HEDEF,58.7,50.2,❌,❌,❌,99.3,✅,—
BASCM,54.6,50.2,✅,✅,✅,95.2,✅,🟢
EKSUN,49.6,50.2,✅,❌,✅,-5978.9,❌,—
AHSGY,,50.2,✅,❌,✅,92.1,❌,—
CEOEM,49.1,50.3,✅,✅,✅,95.1,✅,🟢
CUSAN,52.3,50.3,❌,✅,❌,99.7,✅,—
EGEGY,,50.3,✅,❌,✅,91.3,❌,—
GRSEL,60.0,50.3,❌,❌,❌,88.1,❌,—
DOHOL,61.2,50.4,✅,❌,✅,99.8,✅,—
ATEKS,50.4,50.5,✅,❌,✅,99.0,✅,—
PETKM,53.7,50.5,✅,✅,✅,99.7,✅,🟢
FMIZP,52.2,50.5,✅,✅,✅,99.5,✅,🟢
TATGD,50.8,50.6,❌,❌,❌,95.7,✅,—
TAVHL,56.3,50.7,✅,✅,✅,99.6,✅,🟢
DGGYO,52.6,50.7,❌,❌,❌,100.0,✅,—
DMSAS,52.7,50.8,❌,✅,❌,99.3,✅,—
ZRGYO,55.5,50.8,✅,✅,✅,90.5,❌,—
