build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DAPGM,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,9.05,10.29,8.32,10.29,Sonraki haftalık kapanış > 10.29,8.32,8.32 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DERHL,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,2.15,2.3,2.01,2.3,Sonraki haftalık kapanış > 2.30,2.01,2.01 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DGATE,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,107.2,120.9,97.9,120.9,Sonraki haftalık kapanış > 120.90,97.9,97.90 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DYOBY,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,12.94,13.84,12.36,13.84,Sonraki haftalık kapanış > 13.84,12.36,12.36 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,EGSER,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,2.93,3.03,2.71,3.03,Sonraki haftalık kapanış > 3.03,2.71,2.71 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,EKOS,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,5.49,6.13,5.33,6.13,Sonraki haftalık kapanış > 6.13,5.33,5.33 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,EKSUN,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,6.23,6.72,5.93,6.72,Sonraki haftalık kapanış > 6.72,5.93,5.93 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,EUREN,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,3.97,4.15,3.79,4.15,Sonraki haftalık kapanış > 4.15,3.79,3.79 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,FLAP,HAFTALIK,Boğa Harami,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,10.05,10.57,9.49,10.57,Sonraki haftalık kapanış > 10.57,9.49,9.49 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GARAN,HAFTALIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-08-07,,127.0,132.4,124.6,132.4,Sonraki haftalık kapanış > 132.40,124.6,124.60 altı formasyonu bozar
