build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KCAER,AYLIK,Ayı Harami,B,AYI,TEYİT BEKLİYOR,2026-07-31,,14.77,16.32,12.91,12.91,Sonraki aylık kapanış < 12.91,16.32,16.32 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KLSYN,AYLIK,Dark Cloud,B,AYI,TEYİT BEKLİYOR,2026-07-31,,12.07,16.55,11.06,11.06,Sonraki aylık kapanış < 11.06,16.55,16.55 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KTLEV,AYLIK,Ayı Harami,B,AYI,TEYİT BEKLİYOR,2026-07-31,,46.01,59.08,36.08,36.08,Sonraki aylık kapanış < 36.08,59.08,59.08 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MANAS,AYLIK,Ayı Harami,B,AYI,TEYİT BEKLİYOR,2026-07-31,,28.72,35.48,24.2,24.2,Sonraki aylık kapanış < 24.20,35.48,35.48 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MARKA,AYLIK,Ayı Harami,B,AYI,TEYİT BEKLİYOR,2026-07-31,,78.0,95.25,56.95,56.95,Sonraki aylık kapanış < 56.95,95.25,95.25 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MTRKS,AYLIK,Dark Cloud,B,AYI,TEYİT BEKLİYOR,2026-07-31,,26.28,31.7,25.3,25.3,Sonraki aylık kapanış < 25.30,31.7,31.70 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,PRZMA,AYLIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-07-31,,65.5,80.0,64.2,64.2,Sonraki aylık kapanış < 64.20,80.0,80.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,SANEL,AYLIK,Ayı Harami,B,AYI,TEYİT BEKLİYOR,2026-07-31,,66.0,88.9,40.7,40.7,Sonraki aylık kapanış < 40.70,88.9,88.90 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,SOKE,AYLIK,Shooting Star,B,AYI,TEYİT BEKLİYOR,2026-07-31,,16.51,19.39,15.1,15.1,Sonraki aylık kapanış < 15.10,19.39,19.39 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ALCAR,AYLIK,Ters Hammer,B,BOĞA,TEYİT BEKLİYOR,2026-07-31,,725.0,972.0,716.0,972.0,Sonraki aylık kapanış > 972.00,716.0,716.00 altı formasyonu bozar
